,crime_type,crime_nb,precinct,zipcode
255,Gr. Larceny ,789,1,10013
256,Gr. Larceny ,646,20,10020
257,Gr. Larceny ,327,23,10029
258,Gr. Larceny ,540,24,10025
259,Gr. Larceny ,315,25,10035
260,Gr. Larceny ,315,26,10027
261,Gr. Larceny ,322,28,10027
262,Gr. Larceny ,220,30,10028
263,Gr. Larceny ,288,32,10030
264,Gr. Larceny ,328,33,10031
265,Gr. Larceny ,433,34,10033
266,Gr. Larceny ,468,40,10454
267,Gr. Larceny ,354,41,10459
268,Gr. Larceny ,283,42,10452
269,Gr. Larceny ,676,43,10472
270,Gr. Larceny ,682,44,10452
271,Gr. Larceny ,511,45,10465
272,Gr. Larceny ,438,46,10457
273,Gr. Larceny ,399,47,10466
274,Gr. Larceny ,460,48,10457
275,Gr. Larceny ,346,49,10461
276,Gr. Larceny ,434,50,10463
277,Gr. Larceny ,711,52,10467
278,Gr. Larceny ,504,5,10013
279,Gr. Larceny ,544,60,11224
280,Gr. Larceny ,781,61,11223
281,Gr. Larceny ,452,62,11214
282,Gr. Larceny ,558,63,11210
283,Gr. Larceny ,464,66,11218
284,Gr. Larceny ,658,67,11226
285,Gr. Larceny ,358,68,11220
286,Gr. Larceny ,343,69,11236
287,Gr. Larceny ,1067,6,10011
288,Gr. Larceny ,597,70,11230
289,Gr. Larceny ,521,71,11225
290,Gr. Larceny ,398,72,11232
291,Gr. Larceny ,404,73,11212
292,Gr. Larceny ,1014,75,11208
293,Gr. Larceny ,267,76,11231
294,Gr. Larceny ,477,77,11213
295,Gr. Larceny ,484,78,11217
296,Gr. Larceny ,468,79,11211
297,Gr. Larceny ,317,7,10002
298,Gr. Larceny ,437,81,11221
299,Gr. Larceny ,451,83,11237
300,Gr. Larceny ,603,84,11201
301,Gr. Larceny ,402,88,11205
302,Gr. Larceny ,647,90,11211
303,Gr. Larceny ,488,94,11222
304,Gr. Larceny ,779,9,10003
305,Gr. Larceny ,47,CPP,10024
306,Gr. Larceny ,1781,MNP,10019
307,Gr. Larceny ,2001,MSP,10001
308,Housing ,24,100,11693
309,Housing ,76,101,11691
310,Housing ,0,102,11418
311,Housing ,29,103,11432
312,Housing ,0,104,11385
313,Housing ,0,105,11428
314,Housing ,0,106,11417
315,Housing ,41,107,11365
316,Housing ,0,108,11105
317,Housing ,12,109,11354
318,Housing ,34,10,10011
319,Housing ,0,110,11368
320,Housing ,0,111,11361
321,Housing ,11,112,11375
322,Housing ,6,113,11434
323,Housing ,151,114,11103
324,Housing ,0,115,11372
325,Housing ,32,120,10301
326,Housing ,12,121,None
327,Housing ,17,122,10306
328,Housing ,0,123,10307
329,Housing ,8,13,10010
330,Housing ,0,17,10017
331,Housing ,22,19,10021
332,Housing ,0,1,10013
333,Housing ,21,20,10020
334,Housing ,281,23,10029
335,Housing ,75,24,10025
336,Housing ,117,25,10035
337,Housing ,72,26,10027
338,Housing ,45,28,10027
339,Housing ,10,30,10028
340,Housing ,146,32,10030
341,Housing ,9,33,10031
342,Housing ,10,34,10033
343,Housing ,266,40,10454
344,Housing ,22,41,10459
345,Housing ,169,42,10452
346,Housing ,204,43,10472
347,Housing ,40,44,10452
348,Housing ,48,45,10465
349,Housing ,25,46,10457
350,Housing ,80,47,10466
351,Housing ,15,48,10457
352,Housing ,24,49,10461
353,Housing ,42,50,10463
354,Housing ,7,52,10467
355,Housing ,34,5,10013
356,Housing ,176,60,11224
357,Housing ,57,61,11223
358,Housing ,0,62,11214
359,Housing ,29,63,11210
360,Housing ,0,66,11218
361,Housing ,4,67,11226
362,Housing ,0,68,11220
363,Housing ,87,69,11236
